1_min_bucket,day_of_week,hour_of_day,currency,volume,buy_exchange,buy_price,total_purchase_amount,sell_exchange,sell_price,total_sale_amount,profit,spread_percentage,wallet_balance,price_difference,is_profitable,gold_close,spy_close,broad_crypto_market_index
2024-04-07 23:17:00,Sunday,23,bitcoin,0.0086580086580086,Binanceus,69300.0,600.0,Gemini,69474.95,601.5147186147186,1.5147186147186176,0.2524531024530982,2400.0,174.9499999999971,0,17.95,518.51,3622.58
2024-04-07 23:29:00,Sunday,23,polygon,989.1842421008632,Kraken,0.9103,900.4544155844156,Gemini,0.91553,905.6278491706032,5.173433586187571,0.574535867296491,2101.060303030303,0.005229999999999957,0,17.95,518.51,3622.58
2024-04-07 23:29:00,Sunday,23,solana,2.512526760488456,Poloniex,179.193,450.2272077922079,Binanceus,179.66,451.4005577893559,1.1733499971480228,0.2606128587612153,1650.8330952380952,0.46699999999998454,0,17.95,518.51,3622.58
2024-04-07 23:29:00,Sunday,23,solana,2.517839565885432,Poloniex,179.193,451.1792253297082,Binanceus,179.66,452.35505640697664,1.1758310772684126,0.2606128587612153,2556.6822768683464,0.46699999999998454,0,17.95,518.51,3622.58
2024-04-07 23:30:00,Sunday,23,solana,2.520005136488386,Poloniex,179.109,451.3555999912985,Binanceus,179.66,452.74412282150354,1.3885228302050905,0.3076338989107123,2557.6817332840246,0.5509999999999877,0,17.95,518.51,3622.58
2024-04-07 23:30:00,Sunday,23,solana,2.522872362481446,Poloniex,178.988,451.5638784158292,Binanceus,179.66,453.2592486434167,1.6953702275875455,0.3754441638545584,2558.861977689699,0.671999999999997,0,17.95,518.51,3622.58
2024-04-07 23:31:00,Sunday,23,solana,2.522292100429673,Poloniex,179.13,451.8181839499673,Binanceus,179.66,453.154998763195,1.336814813227761,0.295874504549769,2560.3030423831483,0.5300000000000011,0,17.95,518.51,3622.58
2024-04-07 23:31:00,Sunday,23,solana,2.525963856584565,Poloniex,178.949,452.0187061719514,Binanceus,179.66,453.81466647398304,1.7959603020316308,0.3973199067890763,2561.4393349743914,0.7109999999999843,0,17.95,518.51,3622.58
2024-04-07 23:32:00,Sunday,23,solana,2.5272009533394586,Poloniex,178.968,452.2881002172562,Binanceus,179.66,454.0369232769671,1.748823059710901,0.3866613025792361,2562.9659012311186,0.6920000000000073,0,17.95,518.51,3622.58
2024-04-07 23:32:00,Sunday,23,solana,2.5277768859930005,Poloniex,179.031,452.5504236762129,Binanceus,179.66,454.14039533750247,1.5899716612895531,0.3513358021795056,2564.4524008318726,0.6289999999999907,0,17.95,518.51,3622.58
2024-04-07 23:33:00,Sunday,23,solana,2.530310369750686,Poloniex,178.946,452.7889194254063,Binanceus,179.66,454.59556102940826,1.8066416040019817,0.3990030511998025,2565.803876743969,0.7139999999999986,0,17.95,518.51,3622.58
2024-04-07 23:33:00,Sunday,23,solana,2.530721666737457,Poloniex,179.024,453.0599156660065,Binanceus,179.66,454.6694546460515,1.609538980044988,0.3552596299937414,2567.3395221073706,0.6359999999999957,0,17.95,518.51,3622.58
