hour_of_day,volume,buy_price,total_purchase_amount,sell_price,total_sale_amount,price_difference,is_profitable,gold_close,spy_close,broad_crypto_market_index,day_of_week_Friday,day_of_week_Monday,day_of_week_Saturday,day_of_week_Sunday,day_of_week_Thursday,day_of_week_Tuesday,day_of_week_Wednesday,currency_bitcoin,currency_ethereum,currency_polygon,currency_solana,currency_xrp,buy_exchange_Binanceus,buy_exchange_Bitstamp,buy_exchange_Gemini,buy_exchange_Kraken,buy_exchange_Poloniex,sell_exchange_Binanceus,sell_exchange_Bitstamp,sell_exchange_Gemini,sell_exchange_Kraken,sell_exchange_Poloniex
23,2.5418609281027047,178.848,454.6067432693126,179.66,456.6707343429319,0.8119999999999834,0,17.95,518.51,3622.58,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
23,0.1763287767917786,3439.91,606.5551225738074,3448.6,608.0874196441279,8.690000000000055,0,17.95,518.51,3622.58,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
23,2.538751496634032,179.189,454.9163419303555,179.66,456.1120938852701,0.4710000000000036,0,17.95,518.51,3622.58,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
23,0.1764879015026176,3439.9,607.1007323788544,3448.6,608.6361771219272,8.699999999999818,0,17.95,518.51,3622.58,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
23,0.1765766608217857,3439.91,607.407821327469,3451.6,609.4720024924758,11.690000000000056,0,17.95,518.51,3622.58,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
23,0.1766740760563519,3440.35,607.8206575604703,3451.36,609.7658391378508,11.010000000000218,0,17.95,518.51,3622.58,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
23,0.1767671180838849,3440.74,608.2096938759464,3456.59,611.011452697576,15.850000000000364,0,17.95,518.51,3622.58,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
23,769.2365436879593,0.593,456.1572704069598,0.59455,457.3495870496762,0.00155,0,17.95,518.51,3622.58,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
23,0.1767255189154067,3446.07,609.0085089688157,3455.0,610.5866678527302,8.929999999999836,0,17.95,518.51,3622.58,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
23,0.1768171107219524,3446.07,609.3241407455986,3456.59,611.1842567503935,10.519999999999982,0,17.95,518.51,3622.58,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
23,0.1769250665095478,3446.07,609.6961639465575,3457.12,611.6511859314879,11.049999999999727,0,17.95,518.51,3622.58,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
23,1006.080422730118,0.9096,915.1307525153154,0.91196,917.5051023129586,0.00236,0,17.95,518.51,3622.58,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,2.555280117447542,179.206,457.9215287273042,179.66,459.0816259006254,0.4540000000000077,0,17.95,518.51,3885.83,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0,2.55884989332884,179.024,458.0955433033023,179.76,459.9788568247923,0.73599999999999,0,17.95,518.51,3885.83,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0,2.560313465366671,179.032,458.3780403315258,179.66,459.98591718777607,0.6279999999999859,0,17.95,518.51,3885.83,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0,2.561660607377247,179.032,458.6192218599633,179.66,460.22794472139617,0.6279999999999859,0,17.95,518.51,3885.83,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0,2.564827871156079,178.905,458.8605302891783,179.66,460.79697533190114,0.7549999999999955,0,17.95,518.51,3885.83,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0,2.564430353348228,179.046,459.1509970455868,179.66,460.7255572825426,0.6140000000000043,0,17.95,518.51,3885.83,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0,2.5677142071171946,178.909,459.38718108113017,179.66,461.3155344506752,0.7510000000000048,0,17.95,518.51,3885.83,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0,2.5701929230052274,178.849,459.6764340865618,179.66,461.7608605471192,0.811000000000007,0,17.95,518.51,3885.83,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0,2.5745754539512022,178.666,459.9890980556455,179.29,461.595633138911,0.6239999999999952,0,17.95,518.51,3885.83,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0,2.5772354506206927,178.5751,460.2300783181352,179.29,462.072543941784,0.7149000000000001,0,17.95,518.51,3885.83,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,2.5798391511673966,178.502,460.5064481616826,179.29,462.5393614128025,0.7879999999999825,0,17.95,518.51,3885.83,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0,2.581547462489779,178.502,460.81138514935054,179.29,462.8456445497925,0.7879999999999825,0,17.95,518.51,3885.83,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0,2.5848787715646444,178.39,461.11652405941686,179.29,463.4429149538251,0.9000000000000057,0,17.95,518.51,3885.83,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0,2.585828948733315,178.4594,461.4654826935781,179.29,463.613272218396,0.830600000000004,0,17.95,518.51,3885.83,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,2.585886723722145,178.58,461.7876511223007,179.29,463.6236306961434,0.7099999999999795,0,17.95,518.51,3885.83,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0,2.586849446077579,178.62,462.0630480583772,179.29,463.79623718724906,0.6699999999999875,0,17.95,518.51,3885.83,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0,2.588348401483106,178.617,462.32302642770793,179.29,464.0649849019061,0.6730000000000018,0,17.95,518.51,3885.83,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0,2.59192989448615,178.471,462.5843201988377,179.29,464.7071107824218,0.8189999999999884,0,17.95,518.51,3885.83,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0,2.5920568893282545,178.5851,462.90273878637527,179.29,464.72987968766273,0.7048999999999808,0,17.95,518.51,3885.83,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
