"trade_count","current_datetime","currency","volume","buy_exchange","buy_price","total_purchase_amount","sell_exchange","sell_price","total_sale_amount","profit","spread_percentage","wallet_balance"
18,"2024-04-07T23:36:27.553280","solana",2.5418609281027047,"Poloniex",178.848,454.6067432693126,"Binanceus",179.66,456.6707343429319,2.06399107361932,0.454016818751109,2576.1048785261046
19,"2024-04-07T23:39:18.659722","ethereum",0.17632877679177866,"Binanceus",3439.91,606.5551225738074,"Bitstamp",3448.6,608.0874196441279,1.53229707032051,0.2526228883895234,2426.2204902952294
20,"2024-04-07T23:39:18.659722","solana",2.5387514966340317,"Poloniex",179.189,454.9163419303555,"Binanceus",179.66,456.1120938852701,1.1957519549146127,0.262850956252897,1971.304148364874
21,"2024-04-07T23:39:47.033715","ethereum",0.17648790150261764,"Binanceus",3439.9,607.1007323788544,"Bitstamp",3448.6,608.6361771219272,1.5354447430727305,0.25291432890490473,2428.402929515418
22,"2024-04-07T23:40:16.358447","ethereum",0.17657666082178577,"Binanceus",3439.91,607.407821327469,"Bitstamp",3451.6,609.4720024924758,2.064181165006744,0.33983447241352405,2429.631285309876
23,"2024-04-07T23:40:44.877022","ethereum",0.1766740760563519,"Binanceus",3440.35,607.8206575604703,"Kraken",3451.36,609.7658391378508,1.945181577380481,0.32002557879286175,2431.282630241881
24,"2024-04-07T23:41:13.700241","ethereum",0.17676711808388498,"Binanceus",3440.74,608.2096938759464,"Kraken",3456.59,611.011452697576,2.801758821629619,0.4606567191941375,2432.8387755037857
25,"2024-04-07T23:41:13.700241","xrp",769.2365436879593,"Binanceus",0.593,456.1572704069598,"Kraken",0.59455,457.3495870496762,1.1923166427163778,0.2613827993254724,1976.6815050968257
26,"2024-04-07T23:41:42.637338","ethereum",0.17672551891540672,"Binanceus",3446.07,609.0085089688157,"Bitstamp",3455,610.5866678527302,1.5781588839145115,0.2591357691515215,2436.034035875263
27,"2024-04-07T23:42:11.057227","ethereum",0.17681711072195241,"Binanceus",3446.07,609.3241407455986,"Kraken",3456.59,611.1842567503935,1.860116004794918,0.3052752845995578,2437.2965629823943
28,"2024-04-07T23:42:40.525869","ethereum",0.1769250665095478,"Binanceus",3446.07,609.6961639465575,"Gemini",3457.12,611.6511859314879,1.955021984930454,0.32065512308222777,2438.78465578623
29,"2024-04-07T23:56:38.030705","polygon",1006.0804227301181,"Binanceus",0.9096,915.1307525153154,"Gemini",0.91196,917.5051023129586,2.3743497976431627,0.25945470536499876,2135.305089202403
30,"2024-04-08T00:00:29.205864","solana",2.555280117447542,"Poloniex",179.206,457.92152872730423,"Binanceus",179.66,459.0816259006254,1.1600971733211622,0.2533397319286228,2594.888662788057
31,"2024-04-08T00:00:57.923475","solana",2.55884989332884,"Poloniex",179.024,458.0955433033023,"Binanceus",179.76,459.9788568247923,1.8833135214899812,0.4111180623826917,2595.87474538538
32,"2024-04-08T00:01:26.334760","solana",2.560313465366671,"Poloniex",179.032,458.3780403315258,"Binanceus",179.66,459.98591718777607,1.6078768562502432,0.3507752803967927,2597.475561878646
33,"2024-04-08T00:01:55.087815","solana",2.561660607377247,"Poloniex",179.032,458.6192218599633,"Binanceus",179.66,460.22794472139617,1.6087228614328524,0.3507752803967927,2598.842257206459
34,"2024-04-08T00:02:24.257536","solana",2.564827871156079,"Poloniex",178.905,458.8605302891783,"Binanceus",179.66,460.79697533190114,1.9364450427228235,0.42201168217768953,2600.2096716386773
35,"2024-04-08T00:02:52.851196","solana",2.5644303533482278,"Poloniex",179.046,459.1509970455868,"Binanceus",179.66,460.7255572825426,1.57456023695579,0.3429286328652996,2601.8556499249917
36,"2024-04-08T00:03:21.428129","solana",2.5677142071171946,"Poloniex",178.909,459.38718108113017,"Binanceus",179.66,461.31553445067516,1.9283533695449933,0.4197664734585766,2603.194026126404
37,"2024-04-08T00:03:50.592112","solana",2.5701929230052274,"Poloniex",178.849,459.67643408656187,"Binanceus",179.66,461.76086054711914,2.0844264605572675,0.4534551493159073,2604.8331264905173
38,"2024-04-08T00:04:19.241576","solana",2.5745754539512022,"Poloniex",178.666,459.9890980556455,"Binanceus",179.29,461.595633138911,1.6065350832654985,0.34925503453370826,2606.604888981991
39,"2024-04-08T00:04:48.126819","solana",2.5772354506206927,"Bitstamp",178.5751,460.2300783181352,"Binanceus",179.29,462.072543941784,1.8424656236487635,0.40033576909658747,2607.9704438027666
40,"2024-04-08T00:05:16.975884","solana",2.5798391511673966,"Poloniex",178.502,460.50644816168267,"Binanceus",179.29,462.5393614128025,2.032913251119851,0.44145163639622104,2609.536539582868
41,"2024-04-08T00:05:45.983758","solana",2.581547462489779,"Poloniex",178.502,460.81138514935054,"Binanceus",179.29,462.84564454979244,2.034259400441897,0.44145163639622104,2611.26451584632
42,"2024-04-08T00:06:14.625015","solana",2.5848787715646444,"Kraken",178.39,461.11652405941686,"Binanceus",179.29,463.4429149538251,2.3263908944082345,0.5045125847861459,2612.9936363366955
43,"2024-04-08T00:06:43.338871","solana",2.585828948733315,"Bitstamp",178.4594,461.4654826935781,"Binanceus",179.29,463.613272218396,2.147789524817881,0.46542799090437603,2614.9710685969426
44,"2024-04-08T00:07:12.220414","solana",2.5858867237221452,"Kraken",178.58,461.7876511223007,"Binanceus",179.29,463.6236306961434,1.8359795738426783,0.397580916116015,2616.796689693038
45,"2024-04-08T00:07:40.673932","solana",2.586849446077579,"Kraken",178.62,462.06304805837715,"Binanceus",179.29,463.79623718724906,1.7331891288719135,0.37509797335124145,2618.357272330804
46,"2024-04-08T00:08:10.087795","solana",2.588348401483106,"Poloniex",178.617,462.32302642770793,"Binanceus",179.29,464.0649849019061,1.7419584741981566,0.37678384476281757,2619.830483090345
47,"2024-04-08T00:08:38.987781","solana",2.59192989448615,"Poloniex",178.471,462.5843201988377,"Binanceus",179.29,464.7071107824218,2.1227905835841057,0.45889808428259404,2621.3111477934135
48,"2024-04-08T00:09:07.546779","solana",2.5920568893282545,"Bitstamp",178.5851,462.90273878637527,"Binanceus",179.29,464.72987968766273,1.8271409012874642,0.3947137807129378,2623.11551978946
49,"2024-04-08T00:09:36.360037","solana",2.5952642456523134,"Poloniex",178.47,463.17680992156835,"Binanceus",179.29,465.30492660300325,2.1281166814349035,0.4594609738331334,2624.6685895555543
50,"2024-04-08T00:10:05.051394","solana",2.5962818652150346,"Poloniex",178.523,463.49602742378363,"Binanceus",179.29,465.4873756144035,1.991348190619874,0.42963651742352293,2626.477488734774
51,"2024-04-08T00:10:35.412826","solana",2.600373013968482,"Poloniex",178.357,463.7947296523766,"Binanceus",179.29,466.22087767440917,2.426148022032578,0.5231081482644319,2628.1701346968007
52,"2024-04-08T00:11:04.473312","solana",2.6020924652323507,"Poloniex",178.379,464.15865185568146,"Binanceus",179.29,466.5291580915081,2.3705062358266673,0.5107103414639624,2630.2323605155284
53,"2024-04-08T00:11:33.193485","solana",2.6003845192629993,"Bitstamp",178.6329,464.5142277910554,"Binanceus",179.29,466.2229404586631,1.7087126676076991,0.3678493715323356,2632.247290815981
